Order_ID,Order_Date,Region,Country,Product_Category,Product_Name,Quantity,Unit_Price,Revenue,Cost,Profit,Customer_Segment,Sales_Channel
ORD0039,2025-03-14,Europe,Spain,Office Supplies,Printer Paper,10,8,80,56.23,23.77,B2B,Partner
ORD0040,2025-05-22,Asia,Singapore,Electronics,Mobile,9,300,2700,1562.91,1137.09,B2B,Partner
ORD0041,2025-05-22,Europe,Italy,Furniture,Shelf,7,120,840,612.7,227.3,B2B,Partner
ORD0042,2025-06-12,Asia,Singapore,Furniture,Desk,2,200,400,229.23,170.77,B2C,Retail
ORD0043,2025-01-12,Europe,Italy,Electronics,Headphones,9,40,360,212.54,147.46,B2C,Partner
ORD0044,2025-06-30,Asia,Singapore,Electronics,Laptop,3,800,2400,1887.03,512.97,B2B,Partner
ORD0045,2025-01-10,Asia,Singapore,Office Supplies,Notebook,14,5,70,40.73,29.27,B2C,Retail
ORD0046,2025-01-11,Asia,India,Office Supplies,Notebook,4,5,20,12.77,7.23,B2C,Partner
ORD0047,2025-02-09,Europe,France,Electronics,Monitor,1,180,180,107.07,72.93,B2C,Retail
ORD0048,2025-06-21,North America,USA,Furniture,Chair,4,60,240,154.95,85.05,B2B,Retail
ORD0049,2025-02-26,Europe,Spain,Furniture,Desk,8,200,1600,969.17,630.83,B2B,Retail
ORD0050,2025-03-26,Asia,India,Furniture,Desk,17,200,3400,2209.73,1190.27,B2C,Online
ORD0051,2025-01-30,Asia,India,Office Supplies,Pen Set,2,3,6,3.46,2.54,B2C,Retail
ORD0052,2025-03-22,Asia,Singapore,Office Supplies,Notebook,13,5,65,50.37,14.63,B2B,Retail
ORD0053,2025-01-12,North America,Canada,Electronics,Keyboard,18,35,630,454.68,175.32,B2B,Retail
ORD0054,2025-04-21,Europe,Italy,Office Supplies,Pen Set,4,3,12,8.76,3.24,B2C,Partner
ORD0055,2025-03-21,North America,Canada,Furniture,Desk,10,200,2000,1377.21,622.79,B2B,Retail
ORD0056,2025-06-20,Asia,Singapore,Office Supplies,Notebook,20,5,100,69.23,30.77,B2C,Partner
ORD0057,2025-01-01,Asia,Japan,Electronics,Monitor,19,180,3420,2399.7,1020.3,B2C,Retail
ORD0058,2025-04-24,Asia,Singapore,Electronics,Keyboard,16,35,560,419.12,140.88,B2B,Partner
ORD0059,2025-01-22,Asia,Singapore,Office Supplies,Printer Paper,20,8,160,101.41,58.59,B2B,Partner
ORD0060,2025-03-21,Europe,France,Electronics,Laptop,2,800,1600,977.94,622.06,B2C,Partner
ORD0061,2025-01-19,Asia,Japan,Office Supplies,Printer Paper,7,8,56,40.86,15.14,B2C,Retail
ORD0062,2025-04-13,Europe,France,Office Supplies,Printer Paper,1,8,8,6.19,1.81,B2B,Retail
ORD0063,2025-02-26,Europe,Netherlands,Furniture,Chair,18,60,1080,661.28,418.72,B2B,Retail
ORD0064,2025-02-04,Asia,Singapore,Office Supplies,Printer Paper,20,8,160,100.69,59.31,B2C,Partner
ORD0065,2025-05-10,Asia,Singapore,Furniture,Chair,16,60,960,636.02,323.98,B2B,Partner
ORD0066,2025-03-12,North America,Canada,Office Supplies,Notebook,9,5,45,29.7,15.3,B2C,Online
ORD0067,2025-03-11,Asia,Japan,Office Supplies,Notebook,5,5,25,14.69,10.31,B2C,Partner
ORD0068,2025-02-09,North America,USA,Electronics,Monitor,14,180,2520,1594.46,925.54,B2C,Retail
ORD0069,2025-01-16,Europe,Spain,Furniture,Shelf,1,120,120,91.7,28.3,B2C,Retail
ORD0070,2025-01-02,Asia,Japan,Furniture,Desk,18,200,3600,2652.76,947.24,B2B,Retail
ORD0071,2025-02-26,Asia,Japan,Furniture,Chair,13,60,780,494.55,285.45,B2C,Partner
ORD0072,2025-02-12,Asia,India,Office Supplies,Printer Paper,1,8,8,6.21,1.79,B2B,Online
ORD0073,2025-06-14,Asia,India,Furniture,Chair,2,60,120,73.8,46.2,B2C,Online
ORD0074,2025-04-27,Asia,Japan,Furniture,Desk,14,200,2800,1716.59,1083.41,B2B,Retail
ORD0075,2025-01-05,North America,USA,Furniture,Chair,3,60,180,134.16,45.84,B2B,Online
ORD0076,2025-03-05,Europe,Germany,Office Supplies,Notebook,8,5,40,23.26,16.74,B2B,Partner
ORD0077,2025-02-25,Asia,Singapore,Furniture,Desk,6,200,1200,841.77,358.23,B2B,Online
ORD0078,2025-03-21,Europe,Netherlands,Electronics,Tablet,19,250,4750,3416.85,1333.15,B2C,Retail
ORD0079,2025-02-20,Europe,Netherlands,Office Supplies,Printer Paper,8,8,64,36.83,27.17,B2C,Partner
ORD0080,2025-06-03,Europe,Netherlands,Electronics,Tablet,18,250,4500,2956.93,1543.07,B2C,Online
ORD0081,2025-05-10,North America,Canada,Electronics,Monitor,16,180,2880,1659.99,1220.01,B2C,Partner
ORD0082,2025-04-28,North America,USA,Furniture,Chair,17,60,1020,807.2,212.8,B2C,Partner
ORD0083,2025-05-18,Asia,Japan,Furniture,Shelf,19,120,2280,1406.99,873.01,B2B,Online
ORD0084,2025-03-13,Asia,India,Furniture,Shelf,20,120,2400,1720.91,679.09,B2C,Online
ORD0085,2025-05-07,Asia,India,Furniture,Chair,12,60,720,539.61,180.39,B2C,Retail
ORD0086,2025-06-02,North America,Canada,Office Supplies,Notebook,17,5,85,66.9,18.1,B2B,Online
ORD0087,2025-04-15,Asia,Singapore,Electronics,Headphones,16,40,640,455.34,184.66,B2C,Retail
ORD0088,2025-01-05,Europe,Italy,Electronics,Monitor,8,180,1440,902.23,537.77,B2C,Retail
ORD0089,2025-05-22,North America,Canada,Furniture,Shelf,18,120,2160,1366.63,793.37,B2C,Retail
ORD0090,2025-03-20,Asia,India,Electronics,Headphones,7,40,280,176.09,103.91,B2B,Online
ORD0091,2025-02-25,North America,Canada,Furniture,Shelf,19,120,2280,1810.67,469.33,B2C,Online
ORD0092,2025-02-19,Asia,India,Furniture,Chair,10,60,600,332.12,267.88,B2B,Retail
ORD0093,2025-01-12,Europe,Netherlands,Furniture,Shelf,5,120,600,425.68,174.32,B2C,Online
ORD0094,2025-01-04,North America,Canada,Furniture,Desk,15,200,3000,1905.53,1094.47,B2B,Retail
ORD0095,2025-05-03,Europe,Germany,Furniture,Desk,3,200,600,416.55,183.45,B2B,Online
ORD0096,2025-02-08,North America,Canada,Electronics,Mobile,4,300,1200,827.42,372.58,B2C,Partner
ORD0097,2025-06-02,North America,USA,Office Supplies,Pen Set,15,3,45,34.97,10.03,B2C,Partner
ORD0098,2025-04-20,Asia,Singapore,Office Supplies,Notebook,20,5,100,79.0,21.0,B2B,Online
ORD0099,2025-06-10,Europe,Italy,Office Supplies,Notebook,6,5,30,18.3,11.7,B2B,Online
ORD0100,2025-01-01,Asia,Japan,Office Supplies,Printer Paper,16,8,128,79.72,48.28,B2B,Retail
ORD0101,2025-06-30,Asia,Singapore,Furniture,Chair,8,60,480,374.87,105.13,B2B,Retail
ORD0102,2025-01-30,North America,USA,Office Supplies,Notebook,9,5,45,34.05,10.95,B2B,Online
ORD0103,2025-02-12,Asia,Singapore,Office Supplies,Printer Paper,10,8,80,52.78,27.22,B2C,Partner
ORD0104,2025-03-19,North America,Canada,Furniture,Shelf,18,120,2160,1454.65,705.35,B2B,Partner
ORD0105,2025-01-11,Asia,Singapore,Furniture,Shelf,9,120,1080,600.98,479.02,B2B,Partner
ORD0106,2025-05-28,North America,USA,Office Supplies,Pen Set,19,3,57,31.92,25.08,B2B,Retail
ORD0107,2025-05-13,North America,Canada,Furniture,Chair,19,60,1140,751.23,388.77,B2C,Online
ORD0108,2025-05-01,Asia,Japan,Furniture,Desk,4,200,800,611.55,188.45,B2C,Retail
ORD0109,2025-06-27,Asia,Japan,Office Supplies,Pen Set,18,3,54,30.2,23.8,B2B,Retail
ORD0110,2025-03-06,Asia,India,Furniture,Shelf,1,120,120,85.73,34.27,B2C,Retail
ORD0111,2025-01-14,Europe,Netherlands,Furniture,Shelf,16,120,1920,1356.2,563.8,B2B,Online
ORD0112,2025-03-10,North America,USA,Furniture,Desk,16,200,3200,1857.14,1342.86,B2B,Partner
ORD0113,2025-02-10,Asia,Singapore,Electronics,Keyboard,14,35,490,280.92,209.08,B2B,Retail
ORD0114,2025-01-31,North America,USA,Furniture,Shelf,10,120,1200,812.66,387.34,B2C,Retail
ORD0115,2025-05-04,Asia,India,Furniture,Shelf,5,120,600,387.54,212.46,B2B,Online
ORD0116,2025-03-12,Asia,Japan,Office Supplies,Pen Set,1,3,3,1.86,1.14,B2C,Partner
ORD0117,2025-05-29,North America,Canada,Electronics,Monitor,18,180,3240,2174.32,1065.68,B2C,Partner
ORD0118,2025-05-20,Asia,Japan,Furniture,Chair,8,60,480,332.62,147.38,B2B,Retail
ORD0119,2025-01-12,Asia,Singapore,Furniture,Shelf,13,120,1560,1008.57,551.43,B2B,Retail
ORD0120,2025-01-10,Europe,Netherlands,Office Supplies,Pen Set,4,3,12,9.22,2.78,B2C,Online
ORD0121,2025-05-15,Asia,India,Office Supplies,Notebook,14,5,70,53.74,16.26,B2B,Online
ORD0122,2025-05-01,Asia,Japan,Office Supplies,Printer Paper,13,8,104,74.1,29.9,B2C,Partner
ORD0123,2025-05-17,Asia,Japan,Office Supplies,Printer Paper,16,8,128,98.32,29.68,B2B,Partner
ORD0124,2025-01-18,Europe,Italy,Electronics,Headphones,3,40,120,79.02,40.98,B2B,Partner
ORD0125,2025-06-30,Europe,Spain,Electronics,Headphones,10,40,400,310.34,89.66,B2B,Retail
ORD0126,2025-01-15,Asia,Japan,Furniture,Desk,5,200,1000,611.05,388.95,B2C,Partner
ORD0127,2025-06-24,Europe,France,Electronics,Laptop,20,800,16000,12283.36,3716.64,B2B,Retail
ORD0128,2025-05-30,Europe,France,Furniture,Shelf,9,120,1080,718.08,361.92,B2B,Retail
ORD0129,2025-03-15,North America,USA,Electronics,Monitor,12,180,2160,1721.33,438.67,B2C,Partner
ORD0130,2025-04-19,North America,Canada,Furniture,Desk,7,200,1400,1119.78,280.22,B2C,Online
ORD0131,2025-03-02,Asia,Singapore,Furniture,Shelf,10,120,1200,957.81,242.19,B2C,Online
ORD0132,2025-06-18,Asia,Japan,Electronics,Keyboard,2,35,70,54.44,15.56,B2C,Retail
ORD0133,2025-02-28,North America,Canada,Electronics,Headphones,7,40,280,197.46,82.54,B2B,Partner
ORD0134,2025-01-25,North America,USA,Furniture,Desk,2,200,400,277.96,122.04,B2B,Online
ORD0135,2025-03-17,Asia,Singapore,Furniture,Chair,7,60,420,244.88,175.12,B2C,Partner
ORD0136,2025-05-09,Asia,India,Furniture,Desk,10,200,2000,1473.28,526.72,B2C,Online
ORD0137,2025-04-30,Europe,France,Electronics,Headphones,13,40,520,411.75,108.25,B2C,Online
ORD0138,2025-04-12,Europe,Italy,Office Supplies,Notebook,15,5,75,48.16,26.84,B2C,Partner
ORD0139,2025-04-08,North America,Canada,Electronics,Headphones,8,40,320,213.72,106.28,B2C,Partner
ORD0140,2025-02-26,North America,USA,Office Supplies,Pen Set,10,3,30,21.37,8.63,B2B,Online
ORD0141,2025-01-12,Europe,Italy,Furniture,Chair,4,60,240,146.09,93.91,B2B,Retail
ORD0142,2025-04-27,Asia,Singapore,Office Supplies,Printer Paper,18,8,144,94.29,49.71,B2B,Retail
ORD0143,2025-06-17,Europe,Spain,Office Supplies,Pen Set,9,3,27,15.07,11.93,B2C,Online
ORD0144,2025-04-24,Asia,India,Furniture,Chair,12,60,720,494.0,226.0,B2C,Online
ORD0145,2025-04-12,Asia,India,Electronics,Monitor,3,180,540,386.47,153.53,B2B,Online
ORD0146,2025-03-27,Europe,France,Office Supplies,Notebook,3,5,15,11.36,3.64,B2B,Partner
ORD0147,2025-02-25,Europe,Italy,Electronics,Keyboard,1,35,35,21.68,13.32,B2B,Online
ORD0148,2025-05-19,Asia,India,Electronics,Headphones,1,40,40,23.32,16.68,B2C,Online
ORD0149,2025-05-31,Asia,India,Electronics,Tablet,2,250,500,290.84,209.16,B2C,Partner
ORD0150,2025-01-30,North America,USA,Furniture,Desk,12,200,2400,1627.94,772.06,B2B,Retail
ORD0151,2025-05-09,Europe,Netherlands,Electronics,Headphones,17,40,680,425.28,254.72,B2B,Online
ORD0152,2025-05-03,Asia,Japan,Office Supplies,Notebook,16,5,80,58.25,21.75,B2C,Online
ORD0153,2025-01-21,Asia,Singapore,Electronics,Laptop,5,800,4000,2475.02,1524.98,B2C,Retail
ORD0154,2025-06-02,North America,Canada,Furniture,Shelf,20,120,2400,1578.12,821.88,B2B,Partner
ORD0155,2025-06-16,North America,USA,Furniture,Desk,8,200,1600,1045.53,554.47,B2C,Retail
ORD0156,2025-04-17,North America,USA,Furniture,Desk,11,200,2200,1575.81,624.19,B2C,Online
ORD0157,2025-06-25,Asia,India,Electronics,Laptop,3,800,2400,1579.13,820.87,B2C,Online
ORD0158,2025-05-23,Europe,Netherlands,Office Supplies,Printer Paper,11,8,88,63.14,24.86,B2C,Retail
ORD0159,2025-06-20,Asia,Singapore,Electronics,Tablet,20,250,5000,3140.56,1859.44,B2B,Partner
ORD0160,2025-05-10,Europe,France,Office Supplies,Pen Set,8,3,24,18.28,5.72,B2C,Partner
ORD0161,2025-04-05,Europe,Italy,Office Supplies,Notebook,14,5,70,53.29,16.71,B2B,Partner
ORD0162,2025-06-18,North America,Canada,Electronics,Mobile,9,300,2700,1959.32,740.68,B2C,Retail
ORD0163,2025-03-31,Europe,France,Electronics,Keyboard,13,35,455,258.17,196.83,B2B,Online
ORD0164,2025-05-16,Europe,Spain,Furniture,Desk,11,200,2200,1296.58,903.42,B2C,Partner
ORD0165,2025-03-25,North America,USA,Electronics,Mobile,6,300,1800,1329.5,470.5,B2B,Partner
ORD0166,2025-01-21,Asia,Japan,Office Supplies,Pen Set,16,3,48,33.68,14.32,B2C,Retail
ORD0167,2025-02-25,North America,USA,Furniture,Desk,4,200,800,496.65,303.35,B2C,Partner
ORD0168,2025-06-20,Asia,India,Electronics,Monitor,20,180,3600,2029.3,1570.7,B2B,Retail
ORD0169,2025-02-24,Europe,Italy,Furniture,Desk,4,200,800,441.55,358.45,B2C,Online
ORD0170,2025-02-03,Asia,Singapore,Office Supplies,Notebook,17,5,85,58.62,26.38,B2C,Online
ORD0171,2025-04-12,North America,USA,Furniture,Chair,15,60,900,702.26,197.74,B2C,Partner
ORD0172,2025-04-20,North America,Canada,Office Supplies,Printer Paper,14,8,112,69.71,42.29,B2C,Online
ORD0173,2025-03-25,Europe,Netherlands,Furniture,Shelf,12,120,1440,823.73,616.27,B2B,Online
ORD0174,2025-04-22,North America,Canada,Office Supplies,Notebook,13,5,65,49.9,15.1,B2C,Online
ORD0175,2025-03-27,Europe,Germany,Office Supplies,Printer Paper,4,8,32,21.84,10.16,B2B,Retail
ORD0176,2025-03-31,North America,USA,Electronics,Laptop,5,800,4000,2455.97,1544.03,B2B,Partner
ORD0177,2025-02-09,North America,USA,Electronics,Headphones,16,40,640,426.23,213.77,B2C,Partner
ORD0178,2025-05-25,North America,Canada,Office Supplies,Pen Set,5,3,15,9.9,5.1,B2C,Retail
ORD0179,2025-06-11,Asia,Japan,Office Supplies,Notebook,12,5,60,40.61,19.39,B2C,Retail
ORD0180,2025-04-26,Europe,Germany,Furniture,Desk,3,200,600,426.7,173.3,B2B,Partner
ORD0181,2025-06-02,North America,Canada,Furniture,Shelf,18,120,2160,1703.28,456.72,B2B,Retail
ORD0182,2025-05-27,North America,USA,Furniture,Shelf,16,120,1920,1296.66,623.34,B2B,Retail
ORD0183,2025-01-27,Asia,Singapore,Electronics,Keyboard,6,35,210,117.55,92.45,B2C,Retail
ORD0184,2025-05-15,North America,USA,Furniture,Desk,10,200,2000,1293.71,706.29,B2C,Partner
ORD0185,2025-06-03,Europe,Italy,Electronics,Tablet,4,250,1000,689.49,310.51,B2C,Retail
ORD0186,2025-03-06,North America,USA,Furniture,Chair,19,60,1140,816.13,323.87,B2C,Retail
ORD0187,2025-06-17,North America,Canada,Electronics,Keyboard,3,35,105,65.88,39.12,B2C,Partner
ORD0188,2025-03-26,Europe,Netherlands,Electronics,Headphones,14,40,560,379.19,180.81,B2B,Retail
ORD0189,2025-03-21,Europe,France,Furniture,Desk,7,200,1400,849.29,550.71,B2B,Online
ORD0190,2025-01-20,Asia,India,Office Supplies,Printer Paper,17,8,136,76.08,59.92,B2C,Partner
ORD0191,2025-02-03,North America,Canada,Electronics,Mobile,6,300,1800,1364.11,435.89,B2B,Partner
ORD0192,2025-04-23,Europe,Spain,Furniture,Shelf,8,120,960,760.7,199.3,B2C,Partner
ORD0193,2025-04-25,Europe,Netherlands,Electronics,Tablet,16,250,4000,3103.97,896.03,B2B,Retail
ORD0194,2025-06-23,North America,Canada,Furniture,Desk,13,200,2600,1756.89,843.11,B2C,Online
ORD0195,2025-02-21,North America,USA,Furniture,Chair,16,60,960,737.79,222.21,B2B,Partner
ORD0196,2025-05-13,Europe,Italy,Electronics,Mobile,9,300,2700,1788.29,911.71,B2B,Retail
ORD0197,2025-01-24,Europe,Spain,Furniture,Chair,14,60,840,473.18,366.82,B2C,Online
ORD0198,2025-04-09,Europe,Italy,Electronics,Laptop,11,800,8800,6887.82,1912.18,B2C,Online
ORD0199,2025-02-05,Europe,Italy,Furniture,Shelf,5,120,600,443.83,156.17,B2C,Retail
ORD0200,2025-06-07,Europe,Germany,Electronics,Tablet,7,250,1750,1327.8,422.2,B2C,Online
ORD0201,2025-03-15,Europe,Italy,Electronics,Laptop,8,800,6400,4191.72,2208.28,B2C,Online
ORD0202,2025-01-29,Asia,Singapore,Office Supplies,Notebook,17,5,85,58.97,26.03,B2B,Retail
ORD0203,2025-04-20,Europe,Netherlands,Furniture,Chair,19,60,1140,745.72,394.28,B2B,Partner
ORD0204,2025-04-03,Europe,Netherlands,Office Supplies,Printer Paper,17,8,136,93.64,42.36,B2C,Retail
ORD0205,2025-01-12,North America,Canada,Furniture,Desk,1,200,200,127.85,72.15,B2B,Retail
ORD0206,2025-03-03,North America,USA,Office Supplies,Printer Paper,11,8,88,51.34,36.66,B2C,Partner
ORD0207,2025-03-28,North America,USA,Office Supplies,Pen Set,16,3,48,33.98,14.02,B2B,Online
ORD0208,2025-04-28,Europe,Italy,Electronics,Laptop,7,800,5600,4320.11,1279.89,B2C,Retail
ORD0209,2025-05-12,Asia,Singapore,Furniture,Desk,2,200,400,295.33,104.67,B2B,Retail
ORD0210,2025-04-02,Europe,Italy,Furniture,Chair,12,60,720,474.65,245.35,B2C,Partner
ORD0211,2025-04-23,Asia,Japan,Electronics,Monitor,16,180,2880,1848.49,1031.51,B2C,Online
ORD0212,2025-04-19,Europe,Spain,Office Supplies,Notebook,18,5,90,56.11,33.89,B2B,Online
ORD0213,2025-03-25,North America,Canada,Furniture,Desk,20,200,4000,2917.66,1082.34,B2B,Partner
ORD0214,2025-04-24,Asia,Japan,Electronics,Headphones,12,40,480,337.78,142.22,B2C,Retail
ORD0215,2025-06-13,Europe,Germany,Office Supplies,Printer Paper,13,8,104,66.65,37.35,B2B,Online
ORD0216,2025-02-06,North America,Canada,Electronics,Mobile,3,300,900,548.1,351.9,B2C,Retail
ORD0217,2025-04-09,North America,USA,Office Supplies,Notebook,15,5,75,59.04,15.96,B2C,Retail
ORD0218,2025-01-20,North America,USA,Office Supplies,Pen Set,13,3,39,24.52,14.48,B2C,Online
ORD0219,2025-01-30,Europe,France,Furniture,Shelf,13,120,1560,1214.28,345.72,B2B,Retail
ORD0220,2025-03-08,North America,Canada,Electronics,Keyboard,10,35,350,253.22,96.78,B2C,Online
ORD0221,2025-02-01,Europe,Germany,Furniture,Chair,15,60,900,719.38,180.62,B2C,Partner
ORD0222,2025-03-30,North America,USA,Office Supplies,Printer Paper,10,8,80,61.83,18.17,B2B,Partner
ORD0223,2025-06-29,North America,USA,Furniture,Shelf,8,120,960,557.13,402.87,B2B,Online
ORD0224,2025-03-02,Asia,India,Furniture,Shelf,19,120,2280,1464.28,815.72,B2B,Partner
ORD0225,2025-01-23,Europe,Italy,Furniture,Shelf,16,120,1920,1308.33,611.67,B2C,Partner
ORD0226,2025-01-19,Europe,Italy,Office Supplies,Notebook,15,5,75,49.98,25.02,B2C,Online
ORD0227,2025-05-22,North America,USA,Electronics,Monitor,17,180,3060,2379.69,680.31,B2B,Online
ORD0228,2025-05-13,Europe,Italy,Electronics,Mobile,11,300,3300,2586.16,713.84,B2B,Retail
ORD0229,2025-05-13,Asia,India,Furniture,Chair,18,60,1080,668.1,411.9,B2C,Partner
ORD0230,2025-05-17,Europe,Netherlands,Office Supplies,Notebook,19,5,95,74.61,20.39,B2B,Online
ORD0231,2025-06-18,North America,Canada,Office Supplies,Notebook,1,5,5,2.85,2.15,B2C,Partner
ORD0232,2025-02-23,North America,Canada,Office Supplies,Printer Paper,1,8,8,5.4,2.6,B2C,Partner
ORD0233,2025-03-19,Asia,India,Office Supplies,Pen Set,10,3,30,19.9,10.1,B2B,Online
ORD0234,2025-04-23,Asia,Japan,Furniture,Chair,11,60,660,463.1,196.9,B2C,Partner
ORD0235,2025-03-23,North America,Canada,Furniture,Chair,12,60,720,488.7,231.3,B2B,Retail
ORD0236,2025-03-03,Asia,India,Furniture,Desk,8,200,1600,936.35,663.65,B2B,Retail
ORD0237,2025-04-09,North America,Canada,Electronics,Mobile,11,300,3300,2585.35,714.65,B2C,Online
ORD0238,2025-02-10,Asia,Singapore,Furniture,Desk,10,200,2000,1348.69,651.31,B2B,Retail
ORD0239,2025-05-10,Asia,India,Electronics,Keyboard,12,35,420,236.11,183.89,B2C,Retail
ORD0240,2025-06-02,North America,Canada,Furniture,Shelf,1,120,120,91.42,28.58,B2C,Online
ORD0241,2025-03-09,North America,Canada,Furniture,Desk,2,200,400,260.06,139.94,B2B,Retail
ORD0242,2025-05-22,Asia,India,Furniture,Shelf,15,120,1800,1333.98,466.02,B2C,Partner
ORD0243,2025-06-24,North America,USA,Electronics,Laptop,13,800,10400,6690.32,3709.68,B2C,Partner
ORD0244,2025-04-04,Europe,France,Office Supplies,Printer Paper,13,8,104,70.2,33.8,B2B,Online
ORD0245,2025-02-05,North America,Canada,Furniture,Shelf,15,120,1800,1057.02,742.98,B2B,Retail
ORD0246,2025-06-06,Asia,India,Furniture,Shelf,10,120,1200,838.12,361.88,B2C,Partner
ORD0247,2025-05-25,Asia,Japan,Electronics,Tablet,11,250,2750,1975.74,774.26,B2C,Partner
ORD0248,2025-03-20,North America,USA,Office Supplies,Pen Set,9,3,27,21.38,5.62,B2B,Partner
ORD0249,2025-01-14,North America,Canada,Electronics,Keyboard,20,35,700,520.56,179.44,B2C,Online
ORD0250,2025-06-24,Europe,Germany,Office Supplies,Printer Paper,4,8,32,19.13,12.87,B2C,Retail
ORD0251,2025-04-18,Europe,Spain,Office Supplies,Notebook,14,5,70,47.28,22.72,B2C,Partner
ORD0252,2025-01-16,North America,USA,Office Supplies,Notebook,18,5,90,56.81,33.19,B2C,Partner
ORD0253,2025-04-07,Asia,India,Furniture,Shelf,11,120,1320,906.27,413.73,B2C,Partner
ORD0254,2025-05-04,Europe,France,Furniture,Shelf,10,120,1200,727.46,472.54,B2C,Retail
ORD0255,2025-06-30,Europe,Spain,Furniture,Desk,12,200,2400,1656.29,743.71,B2C,Retail
ORD0256,2025-02-01,North America,Canada,Furniture,Desk,5,200,1000,622.61,377.39,B2C,Partner
ORD0257,2025-01-21,Asia,Japan,Office Supplies,Pen Set,16,3,48,28.97,19.03,B2C,Partner
ORD0258,2025-06-28,Asia,India,Electronics,Keyboard,19,35,665,405.53,259.47,B2B,Partner
